relation_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_logits_json,selection_method
rel_2662_17793_2664,2662,17793,17793,17794,2664,14,7,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.5625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.91796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.8544921875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.556640625}",nli_grouped_softmax
rel_2663_17793_2664,2663,17793,17793,17794,2664,17,7,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.47265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.9521484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.5390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.5068359375}",nli_grouped_softmax
rel_2667_17803_2668,2667,17803,17803,17804,2668,3,15,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.96435546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.7568359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.6357421875}",nli_grouped_softmax
rel_2673_17813_2675,2673,17813,17813,17814,2675,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.0888671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.348876953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.416015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.228515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.39453125}",nli_grouped_softmax
rel_2674_17813_2675,2674,17813,17813,17814,2675,17,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.2529296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.71875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.58203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.51953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.9697265625}",nli_grouped_softmax
rel_2693_17949_2694,2693,17949,17949,17953,2694,14,19,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.72265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.3291015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.7568359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.055511474609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.73974609375}",nli_grouped_softmax
rel_2695_17960_2697,2695,17960,17960,17965,2697,3,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.304443359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.4892578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.49609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.123046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.418701171875}",nli_grouped_softmax
rel_2696_17960_2697,2696,17960,17960,17965,2697,19,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.475341796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.458984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.60986328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.826171875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.162109375}",nli_grouped_softmax
rel_2704_18018_2706,2704,18018,18018,18019,2706,3,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.734375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.39453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.501953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.2685546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.1552734375}",nli_grouped_softmax
rel_2705_18018_2706,2705,18018,18018,18019,2706,19,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.1357421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.466796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.1328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.595703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.4501953125}",nli_grouped_softmax
rel_2715_18145_2716,2715,18145,18145,18146,2716,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.3779296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.419677734375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.3203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.8193359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.005859375}",nli_grouped_softmax
rel_2747_18339_2749,2747,18339,18339,18340,2749,3,21,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.72314453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.345703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.654296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.61474609375}",nli_grouped_softmax
rel_2772_18508_2773,2772,18508,18508,18509,2773,15,6,"{""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": 0.0}",single_candidate_router
rel_2775_18528_2776,2775,18528,18528,18529,2776,6,19,"{""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": 0.0}",single_candidate_router
rel_2781_18560_2782,2781,18560,18560,18561,2782,3,4,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.74365234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.47119140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.2265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.82470703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.7314453125}",nli_grouped_softmax
rel_2783_18566_2784,2783,18566,18566,18568,2784,4,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.78076171875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.75244140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.208984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.2685546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.984375}",nli_grouped_softmax
rel_2790_18590_2791,2790,18590,18590,18591,2791,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.9033203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.81201171875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.697265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.322998046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.66357421875}",nli_grouped_softmax
rel_2836_18783_2838,2836,18783,18783,18784,2838,15,13,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_2837_18783_2838,2837,18783,18783,18784,2838,21,13,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_2840_18800_2842,2840,18800,18800,18803,2842,15,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_2841_18800_2842,2841,18800,18800,18803,2842,21,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_2847_18848_2849,2847,18848,18848,18849,2849,15,13,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_2848_18848_2849,2848,18848,18848,18849,2849,21,13,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_2879_19048_2881,2879,19048,19048,19050,2881,15,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_2880_19048_2881,2880,19048,19048,19050,2881,21,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_2905_19225_2906,2905,19225,19225,19226,2906,3,15,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.82470703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.5224609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.505859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.029296875}",nli_grouped_softmax
rel_2905_19225_2907,2905,19225,19225,19226,2907,3,21,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.97998046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.4775390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.33203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.220703125}",nli_grouped_softmax
rel_2924_19340_2925,2924,19340,19340,19341,2925,3,15,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.361328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.72119140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.2919921875}",nli_grouped_softmax
rel_2924_19340_2926,2924,19340,19340,19341,2926,3,21,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.4609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.78466796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.34765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.3251953125}",nli_grouped_softmax
rel_2939_19431_2938,2939,19431,19425,19432,2938,3,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.197265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -2.064453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.25390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.494140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.650390625}",nli_grouped_softmax
rel_2943_19460_2944,2943,19460,19460,19461,2944,9,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.181640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.8251953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.44140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.99853515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -2.041015625}",nli_grouped_softmax
rel_2943_19460_2945,2943,19460,19460,19461,2945,9,15,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.98486328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.240234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.8330078125}",nli_grouped_softmax
rel_2949_19492_2950,2949,19492,19492,19494,2950,3,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.646484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.35546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.53955078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.40234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.58935546875}",nli_grouped_softmax
rel_2954_19524_2955,2954,19524,19524,19526,2955,3,20,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.83935546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.420654296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.4375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.84423828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.8935546875}",nli_grouped_softmax
rel_2955_19531_2956,2955,19531,19531,19532,2956,20,9,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.1474609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.99365234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.337890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.212890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.5419921875}",nli_grouped_softmax
rel_2959_19553_2960,2959,19553,19553,19558,2960,9,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.498046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.1328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.20703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.32421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.3740234375}",nli_grouped_softmax
rel_2992_19758_2993,2992,19758,19758,19759,2993,9,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.1767578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.62744140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.6103515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.1416015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.5419921875}",nli_grouped_softmax
rel_3001_19802_3002,3001,19802,19802,19803,3002,9,19,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.314453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.56005859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.5263671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.365234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.607421875}",nli_grouped_softmax
rel_3001_19802_3003,3001,19802,19802,19803,3003,9,20,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.24609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.51416015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.603515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.314453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.7978515625}",nli_grouped_softmax
rel_3010_19850_3012,3010,19850,19850,19851,3012,9,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.087890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.8017578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.96484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.2783203125}",nli_grouped_softmax
rel_3013_19863_3015,3013,19863,19863,19870,3015,9,2,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.8525390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -0.92138671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.4541015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9091796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.2294921875}",nli_grouped_softmax
rel_3022_19913_3023,3022,19913,19913,19914,3023,9,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.310546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.958984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.1953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -2.154296875}",nli_grouped_softmax
rel_3036_19982_3037,3036,19982,19982,19983,3037,9,0,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.0546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.6435546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.1787109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.986328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.6728515625}",nli_grouped_softmax
rel_3062_20171_3063,3062,20171,20171,20174,3063,4,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.9755859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.76708984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.376953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.99072265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.191162109375}",nli_grouped_softmax
rel_3106_20470_3107,3106,20470,20470,20471,3107,20,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.134765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.181640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.24609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.81494140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.3564453125}",nli_grouped_softmax
rel_3111_20483_3113,3111,20483,20483,20485,3113,15,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_3112_20483_3113,3112,20483,20483,20485,3113,21,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_3143_20641_3144,3143,20641,20641,20642,3144,9,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.0361328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.7490234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.8759765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9501953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.1669921875}",nli_grouped_softmax
rel_3148_20681_3151,3148,20681,20681,20682,3151,14,20,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.77490234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.49853515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.7001953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.187255859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.240234375}",nli_grouped_softmax
rel_3148_20681_3152,3148,20681,20681,20682,3152,14,20,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.77490234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.49853515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.7001953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.187255859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.240234375}",nli_grouped_softmax
rel_3149_20681_3150,3149,20681,20681,20682,3150,20,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.83642578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.619140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.7255859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.094970703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.2705078125}",nli_grouped_softmax
rel_3157_20699_3159,3157,20699,20699,20700,3159,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.8076171875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.68994140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.79296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.4853515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.15625}",nli_grouped_softmax
rel_3157_20699_3160,3157,20699,20699,20700,3160,14,15,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.5849609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.68896484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.7529296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.79638671875}",nli_grouped_softmax
rel_3157_20699_3161,3157,20699,20699,20700,3161,14,21,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.7158203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.5146484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.5947265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.444580078125}",nli_grouped_softmax
rel_3158_20699_3159,3158,20699,20699,20700,3159,20,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.892578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.7548828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.8837890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.3056640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.0029296875}",nli_grouped_softmax
rel_3158_20699_3160,3158,20699,20699,20700,3160,20,15,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.70263671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.8759765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.861328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.607421875}",nli_grouped_softmax
rel_3158_20699_3161,3158,20699,20699,20700,3161,20,21,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.95068359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.79931640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.77734375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.0665283203125}",nli_grouped_softmax
rel_3157_20699_3163,3157,20699,20699,20702,3163,14,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.74951171875, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.9296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.76904296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.837890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.48388671875}",nli_grouped_softmax
rel_3158_20699_3163,3158,20699,20699,20702,3163,20,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.85595703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.939453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.94677734375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.8876953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.1048583984375}",nli_grouped_softmax
rel_3192_20926_3193,3192,20926,20926,20927,3193,20,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.943359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.0283203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.33984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.9482421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.1064453125}",nli_grouped_softmax
rel_3210_20999_3214,3210,20999,20999,21005,3214,21,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_3211_20999_3214,3211,20999,20999,21005,3214,22,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_3233_21302_3235,3233,21302,21302,21303,3235,14,21,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.341064453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.71044921875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.7724609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 1.16796875}",nli_grouped_softmax
rel_3233_21302_3236,3233,21302,21302,21303,3236,14,22,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.29296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.80908203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.73828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 1.1982421875}",nli_grouped_softmax
rel_3234_21302_3235,3234,21302,21302,21303,3235,20,21,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.53759765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.78271484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 1.2490234375}",nli_grouped_softmax
rel_3234_21302_3236,3234,21302,21302,21303,3236,20,22,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.384521484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.78759765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.7294921875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 1.4560546875}",nli_grouped_softmax
rel_3246_21361_3249,3246,21361,21361,21368,3249,14,20,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.1591796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.91650390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.05078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.4970703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -2.142578125}",nli_grouped_softmax
rel_3247_21361_3248,3247,21361,21361,21368,3248,20,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.0224609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.81640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.814453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.77978515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.140625}",nli_grouped_softmax
